recall_number,reason_for_recall,recalling_firm,distribution_pattern,report_date,termination_date,status
054-2013,Product Contamination,"Central Valley Meat Co., Inc.","Arkansas, California, Montana, Texas",2013-09-19,2015-03-24,Terminated
053-2013,Produced Without Benefit of Inspection,Siberoni,"Oregon, Washington",2013-09-16,2015-03-24,Terminated
052-2013,"Misbranding, Unreported Allergens",Galant Food Company,California,2013-09-13,2015-03-23,Terminated
051-2013,Product Contamination,"National Beef Packing Co., L.L.C.",Texas,2013-09-12,2015-03-24,Terminated
050-2013,"Misbranding, Unreported Allergens",Galant Food Company,California,2013-09-06,2015-03-24,Terminated
049-2013,"Misbranding, Unreported Allergens",Campbell Soup Supply Company L.L.C.,"Texas, Oklahoma, Arkansas, Louisiana, Mississippi",2013-08-30,2015-11-23,Terminated
046-2013-EXP,"Misbranding, Unreported Allergens",West Lake Food Corporation,NA,2013-08-29,2015-03-23,Terminated
048-2013,"Misbranding, Unreported Allergens",Pride Enterprise Food Products,NA,2013-08-28,2015-03-24,Terminated
047-2013,Processing Defect,NA,West Virginia,2013-08-28,2015-03-24,Terminated
046-2013,"Misbranding, Unreported Allergens",West Lake Food Corporation,NA,2013-08-23,2015-03-24,Terminated
045-2013,Product Contamination,NA,"New York, California",2013-08-09,2015-03-24,Terminated
044-2013,"Misbranding, Unreported Allergens","Traditions Prepared Meals, L.L.C.",NA,2013-07-31,2015-03-24,Terminated
043-2013,Product Contamination,"National Beef Packing Co., L.L.C.",NA,2013-07-31,2015-03-24,Terminated
042-2013,"Misbranding, Unreported Allergens",NA,"Florida, Georgia, Illinois, Missouri, Ohio",2013-06-26,2015-03-24,Terminated
041-2013,Product Contamination,"Tip Top Poultry, Inc.",NA,2013-06-19,2015-03-24,Terminated
040-2013,Product Contamination,"National Beef Packing Co., L.L.C.","Arizona, Arkansas, Georgia, Illinois, Kansas, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, Tennessee, Texas",2013-06-18,2015-03-24,Terminated
038-2013,"Misbranding, Unreported Allergens",Taylor Farm - Pacific,"California, Nevada",2013-06-12,2015-03-24,Terminated
039-2013,"Misbranding, Unreported Allergens",Hickory Hollow Jerky,NA,2013-06-12,2013-07-16,Terminated
037-2013,"Misbranding, Unreported Allergens",Vocci Ravioli Company,"Kansas, Missouri",2013-06-03,2015-03-24,Terminated
036-2013,"Misbranding, Unreported Allergens",Foster Farms,"Arizona, California, Hawaii, Nevada, Oregon, Utah, Washington",2013-05-21,2018-05-10,Terminated
035-2013,"Misbranding, Unreported Allergens",NA,NA,2013-05-10,2015-03-24,Terminated
034-2013,"Misbranding, Unreported Allergens",NA,"Louisiana, Mississippi, Texas",2013-05-10,2016-08-29,Terminated
033-2013,Produced Without Benefit of Inspection,NA,California,2013-05-07,2013-06-14,Terminated
030-2013,"Misbranding, Unreported Allergens",Mongiello Italian Cheese Specialties,"New Jersey, New York",2013-05-02,2015-03-24,Terminated
031-2013,Product Contamination,NA,NA,2013-05-02,2014-06-16,Terminated
032-2013,Product Contamination,P.E. & F Inc. DBA DiMare's Specialty Foods,Louisiana,2013-05-02,2016-06-17,Terminated
029-2013,Produced Without Benefit of Inspection,NA,"Florida, Massachusetts, New Jersey, New York",2013-05-01,2013-10-22,Terminated
028-2013-EXP,Product Contamination,Manda Packing Company,"Alabama, Arkansas, Florida, Georgia, Illinois, Kentucky, Louisiana, Mississippi, Missouri, Oklahoma, South Carolina, Tennessee, Texas",2013-04-12,2016-10-05,Terminated
027-2013,"Misbranding, Unreported Allergens",Formosa Food Company Inc.,NA,2013-04-10,2014-06-03,Terminated
028-2013,Product Contamination,Manda Packing Company,"Alabama, Florida, Illinois, Louisiana, Mississippi, Oklahoma, Tennessee, Texas",2013-04-10,2016-10-05,Terminated
025-2013-EXP,Product Contamination,NA,NA,2013-04-04,2016-06-15,Terminated
026-2013,"Misbranding, Unreported Allergens","Tyson Foods, Inc.",NA,2013-04-02,2014-07-30,Terminated
025-2013,Product Contamination,NA,NA,2013-03-28,2016-06-15,Terminated
024-2013,Product Contamination,NA,New York,2013-03-25,2016-08-22,Terminated
022-2013,Processing Defect,Ben-Lee Processing Inc.,Kansas,2013-03-15,2015-03-24,Terminated
023-2013,Product Contamination,NA,"Florida, Georgia, North Carolina, South Carolina, Virginia",2013-03-15,2015-03-24,Terminated
021-2013,Product Contamination,NA,Michigan,2013-03-12,2015-03-24,Terminated
020-2013,"Misbranding, Unreported Allergens",Summer Garden Food Manufacturing,"Ohio, Pennsylvania",2013-03-06,2013-08-16,Terminated
019-2013,Processing Defect,"Byron Center Wholesale Meats, Inc.","Michigan, Indiana",2013-03-02,2015-03-24,Terminated
018-2013,Product Contamination,Schmalz European Provision Inc.,New Jersey,2013-02-27,2015-03-24,Terminated
017-2013,Product Contamination,NA,Alabama,2013-02-21,2015-03-24,Terminated
016-2013,Product Contamination,"Perfect Pasta, Inc.",Illinois,2013-02-14,2015-03-24,Terminated
015-2013,Product Contamination,"AdvancePierre Foods, Inc.",NA,2013-02-08,2014-06-05,Terminated
014-2013,"Misbranding, Unreported Allergens",Nueske Applewood Smoked Meats,NA,2013-02-02,2014-10-15,Terminated
013-2013,"Misbranding, Unreported Allergens","Isabella Foods, Inc.",Texas,2013-01-31,2016-08-22,Terminated
012-2013,Product Contamination,"SAN JOSE VALLEY VEAL, INC",NA,2013-01-30,2015-03-24,Terminated
011-2013,"Misbranding, Unreported Allergens",BPT Products Inc.,Texas,2013-01-28,2016-08-29,Terminated
010-2013,Product Contamination,"AdvancePierre Foods, Inc.","Kansas, Louisiana, Missouri, Oklahoma, Texas",2013-01-25,2015-03-24,Terminated
009-2013,Product Contamination,NA,Michigan,2013-01-25,2015-03-24,Terminated
008-2013,Product Contamination,NA,Michigan,2013-01-24,2015-03-24,Terminated
007-2013,Product Contamination,Stallings Head Cheese Co.,"Louisiana, Texas",2013-01-24,2016-08-29,Terminated
006-2013,Product Contamination,NA,NA,2013-01-23,2014-03-07,Terminated
005-2013,"Misbranding, Mislabeling",C&H Meat Co.,California,2013-01-22,2015-03-24,Terminated
004-2013,Product Contamination,"LJD Holdings, Inc.",California,2013-01-19,2013-08-01,Terminated
003-2013,"Misbranding, Unreported Allergens",NA,Indiana,2013-01-18,2015-03-24,Terminated
002-2013,Produced Without Benefit of Inspection,"Humphrey's Market, Inc.","Kansas, Missouri, Nebraska",2013-01-17,2015-03-24,Terminated
001-2013,Product Contamination,"Glenn's Market & Catering, Inc.",Wisconsin,2013-01-15,2015-03-24,Terminated
081-2012,"Misbranding, Unreported Allergens","Stehouwer's Frozen Foods, Inc.",Michigan,2012-12-21,2013-06-01,Terminated
082-2012,"Misbranding, Unreported Allergens",Wayne Farms LLC,"Kentucky, Tennessee",2012-12-21,2013-06-01,Terminated
080-2012,"Misbranding, Unreported Allergens",NA,NA,2012-12-14,2013-06-01,Terminated
079-2012,Product Contamination,NA,NA,2012-12-06,2013-06-01,Terminated
078-2012,Produced Without Benefit of Inspection,NA,New York,2012-12-04,2013-06-01,Terminated
PHA-113012,Product Contamination,NA,NA,2012-11-30,NA,Ongoing
077-2012,Mislabeling,Troll Smokehouse,Michigan,2012-11-29,2013-06-01,Terminated
076-2012,Mislabeling,NA,Texas,2012-11-21,2013-06-01,Terminated
075-2012,Product Contamination,Stanley's Market Brands LLC,"Indiana, Michigan, Ohio",2012-11-20,2013-06-01,Terminated
074-2012,Processing Defect,NA,NA,2012-11-13,2013-06-01,Terminated
073-2012,Product Contamination,NA,"Wisconsin, Illinois",2012-11-09,2013-06-01,Terminated
072-2012,Product Contamination,NA,Kentucky,2012-11-02,2013-06-01,Terminated
071-2012,"Misbranding, Unreported Allergens",NA,"North Carolina, Connecticut",2012-11-01,2013-06-01,Terminated
070-2012,Product Contamination,Blount Fine Foods Corp.,"New York, Ohio, Pennsylvania, West Virginia",2012-10-30,2013-06-01,Terminated
067-2012,Misbranding,"BEF Foods, Inc.",NA,2012-10-22,2013-05-29,Terminated
068-2012,Product Contamination,Salt Lake Fine Foods,Utah,2012-10-22,2013-05-29,Terminated
069-2012,Product Contamination,"Higa Meat & Pork Market, Ltd.",Hawaii,2012-10-22,2013-05-29,Terminated
066-2012,"Misbranding, Produced Without Benefit of Inspection",NA,"Louisiana, Texas",2012-10-15,2013-05-29,Terminated
065-2012,"Misbranding, Unreported Allergens","Tyson Foods, Inc.",NA,2012-10-10,2013-05-29,Terminated
064-2012,"Misbranding, Unreported Allergens",Smithfield Packaged Meats Corp.,Georgia,2012-10-03,2013-05-29,Terminated
PHA-092812-01,Product Contamination,NA,NA,2012-09-28,NA,Ongoing
063-2012,"Misbranding, Unreported Allergens",Foster Farms,NA,2012-09-28,2013-05-29,Terminated
PHA-092612-01,Product Contamination,NA,NA,2012-09-26,NA,Ongoing
PHA-092112-01,Product Contamination,NA,NA,2012-09-21,NA,Ongoing
062-2012,"Misbranding, Unreported Allergens",Makowski's Real Sausage Company,NA,2012-09-21,2013-05-29,Terminated
PHA-092012-01,Product Contamination,NA,NA,2012-09-20,NA,Ongoing
061-2012,Product Contamination,"Serenade Foods, Division of Maple Leaf Farms, Inc.",Florida,2012-09-14,2013-05-29,Terminated
060-2012,Product Contamination,"Klement's Sausage Company, Inc.",NA,2012-08-30,2013-05-29,Terminated
058-2012,Mislabeling,"OSI Industries, LLC",NA,2012-08-16,2013-05-29,Terminated
059-2012,Product Contamination,NA,California,2012-08-16,2013-05-29,Terminated
056-2012,Product Contamination,Blount Fine Foods,NA,2012-08-15,2013-05-29,Terminated
057-2012,Product Contamination,"Johnsonville, LLC",NA,2012-08-15,2013-05-29,Terminated
055-2012,Product Contamination,Dale T. Smith and Sons Meat Packing Company Inc,NA,2012-08-14,2013-05-29,Terminated
054-2012,Misbranding,Alexis Wholesale Inc.,NA,2012-08-06,2013-05-29,Terminated
053-2012,Product Contamination,Reichel Foods Inc.,"Indiana, Minnesota, Pennsylvania, Texas",2012-08-05,2013-05-29,Terminated
052-2012,Product Contamination,Kenosha Beef International Ltd,"Indiana, Maine, North Carolina, Ohio, Pennsylvania, South Carolina, Wisconsin",2012-08-02,2013-05-29,Terminated
051-2012,Product Contamination,"Garden Fresh Foods, Inc.",NA,2012-08-01,2013-05-29,Terminated
047-2012,Product Contamination,NA,"Arizona, New Mexico, California, Nevada, Texas",2012-07-27,2013-05-29,Terminated
048-2012,Product Contamination,LSG Sky Chefs,Florida,2012-07-27,2013-05-29,Terminated
049-2012,Product Contamination,Enslin & Son Packing Company,NA,2012-07-27,2013-05-29,Terminated
050-2012,"Misbranding, Unreported Allergens",Tony Downs Foods,NA,2012-07-27,2013-05-29,Terminated
046-2012,"Misbranding, Unreported Allergens",NA,NA,2012-07-26,2013-05-28,Terminated
045-2012,Product Contamination,Cargill Meat Solutions,Massachusetts,2012-07-22,2013-05-28,Terminated
044-2012,Product Contamination,Buona Vita Inc.,NA,2012-07-19,2013-05-28,Terminated
043-2012,Product Contamination,"Morgan Foods, Inc.","Connecticut, Maryland, New Jersey, New York, Pennsylvania, Virginia",2012-07-13,2013-05-28,Terminated
042-2012,Product Contamination,Buona Vita Inc.,NA,2012-07-07,2013-05-28,Terminated
041-2012,Product Contamination,"Square H Brands, Inc.",NA,2012-06-21,2013-05-29,Terminated
040-2012,"Misbranding, Unreported Allergens",Pucci Foods,"Arizona, California, Nevada, New Mexico, Oregon, Washington",2012-06-13,2013-05-28,Terminated
039-2012,Mislabeling,CB Foods Inc.,"California, Nevada",2012-06-11,2013-05-28,Terminated
038-2012,"Misbranding, Unreported Allergens",NA,"District of Columbia, Maryland, Virginia",2012-06-06,2013-05-28,Terminated
037-2012,Product Contamination,L. Kang Inc.,Hawaii,2012-06-02,2013-05-28,Terminated
036-2012,"Misbranding, Unreported Allergens",Ba Le Meat Processing,"California, Colorado, Illinois, Massachusetts, Minnesota",2012-06-01,2013-05-28,Terminated
034-2012,"Misbranding, Unreported Allergens","Zenner's Quality Meat Products, Inc.","California, Idaho, Nevada, Oregon, Washington",2012-05-24,2013-05-28,Terminated
035-2012,"Misbranding, Unreported Allergens","Mt. Airy Meat Center, Inc.",North Carolina,2012-05-24,2013-05-28,Terminated
033-2012,"Misbranding, Unreported Allergens",WEST BEST FOODS INC,Nevada,2012-05-22,2013-05-28,Terminated
031-2012,"Misbranding, Unreported Allergens",Foster Farms,"Arizona, California, Colorado, Nevada, Oregon, Utah, Washington",2012-05-18,2013-05-28,Terminated
029-2012,Produced Without Benefit of Inspection,NA,Texas,2012-05-17,2013-05-28,Terminated
030-2012,"Misbranding, Unreported Allergens",NA,"Illinois, Pennsylvania",2012-05-17,2013-05-28,Terminated
032-2012,"Misbranding, Unreported Allergens",Swift Pork Company,"Minnesota, Wisconsin",2012-05-12,2013-05-28,Terminated
028-2012,"Misbranding, Unreported Allergens","Euro Foods Inc., d/b/a Citterio USA Corp","Florida, Maryland",2012-05-10,2013-05-28,Terminated
026-2012,"Misbranding, Unreported Allergens",Old Style Sausage,Colorado,2012-04-20,2013-05-28,Terminated
027-2012,Product Contamination,"Albie's Food Products, LLC",NA,2012-04-20,2013-05-28,Terminated
025-2012,"Misbranding, Unreported Allergens",Nestle Prepared Foods Company,NA,2012-04-17,2013-05-28,Terminated
024-2012,Product Contamination,NA,Maine,2012-04-11,2013-05-28,Terminated
023-2012,Mislabeling,"QUALITY FOOD DISTRIBUTOR, INC.",Nevada,2012-04-06,2013-05-28,Terminated
022-2012,"Misbranding, Unreported Allergens",Albaghdadi Food Inc.,Arizona,2012-04-03,2013-05-28,Terminated
021-2012,Product Contamination,"Eddy Packing Co., Inc.",NA,2012-03-31,2013-05-28,Terminated
020-2012,"Misbranding, Unreported Allergens","Taylor Farms New Jersey, Inc.",New York,2012-03-30,2013-05-27,Terminated
019-2012,Product Contamination,NA,NA,2012-03-29,2013-05-27,Terminated
018-2012,"Misbranding, Unreported Allergens",J Bar B Foods,"Texas, Indiana",2012-03-26,2013-05-27,Terminated
PHA-032412-01,Product Contamination,NA,Washington,2012-03-24,NA,Ongoing
017-2012,Product Contamination,NA,"Arizona, Colorado, Texas, Washington",2012-03-24,2013-05-27,Terminated
016-2012,Product Contamination,Southside Market & Barbeque,"California, Florida, Illinois, Louisiana, Texas",2012-03-21,2013-05-27,Terminated
014-2012,"Misbranding, Unreported Allergens",NA,California,2012-03-17,2013-05-27,Terminated
015-2012,Import Violation,Lawson Foods Inc.,New Jersey,2012-03-12,2013-05-27,Terminated
015-2010,Product Contamination,Nestle Professional,NA,2012-03-08,2012-06-03,Terminated
013-2012,"Misbranding, Unreported Allergens",NA,NA,2012-03-06,2013-05-27,Terminated
012-2012,Produced Without Benefit of Inspection,"Pasou Foods, Inc.",Indiana,2012-03-02,2013-05-27,Terminated
011-2012,Unreported Allergens,London Manhattan Corp.,New York,2012-02-27,2013-05-27,Terminated
010-2012,Produced Without Benefit of Inspection,NA,NA,2012-02-16,2013-05-27,Terminated
009-2012,Produced Without Benefit of Inspection,NA,California,2012-02-15,2013-05-27,Terminated
008-2012,"Misbranding, Unreported Allergens",Han Yang Inc,"California, Illinois",2012-02-10,2013-05-27,Terminated
007-2012,Product Contamination,NA,North Carolina,2012-02-07,2013-05-27,Terminated
005-2012,Product Contamination,"GHSW, LLC",Texas,2012-02-03,2013-05-27,Terminated
006-2012,Product Contamination,"F&S Produce Co., Inc.",New Jersey,2012-02-03,2013-05-27,Terminated
002-2012,"Misbranding, Unreported Allergens",J&B Wholesale Distributing Inc.,"North Dakota, Texas",2012-01-27,2013-05-18,Terminated
003-2012,Product Contamination,NA,NA,2012-01-27,2013-05-18,Terminated
001-2012,Product Contamination,NA,"South Carolina, Tennessee, Washington",2012-01-14,2013-05-18,Terminated
004-2012,Product Contamination,NA,"Illinois, Indiana, Kentucky, Ohio, Tennessee",2012-01-02,2013-05-18,Terminated
102-2011,"Misbranding, Unreported Allergens",NA,Arizona,2011-12-30,NA,Ongoing
101-2011,Product Contamination,"Tyson Fresh Meats, Inc.","Alabama, California, Florida, Georgia, Illinois, Indiana, Kentucky, Louisiana, Mississippi, New York, North Carolina, Ohio, South Carolina, Tennessee, West Virginia, Wisconsin",2011-12-16,2012-06-03,Terminated
099-2011,"Misbranding, Unreported Allergens",NA,"Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia",2011-12-15,2012-06-03,Terminated
100-2011,Product Contamination,NA,Maine,2011-12-15,2012-06-03,Terminated
098-2011,"Misbranding, Unreported Allergens",Silva Sausage Co.,California,2011-12-10,2012-06-03,Terminated
097-2011,Product Contamination,NA,Florida,2011-12-09,2012-06-03,Terminated
096-2011,Produced Without Benefit of Inspection,NA,"California, Illinois, Indiana, Ohio, Oregon, Texas, Utah",2011-12-08,2012-06-03,Terminated
095-2011,"Misbranding, Unreported Allergens",NA,California,2011-12-02,2012-06-03,Terminated
094-2011,"Misbranding, Unreported Allergens",Papa Cantella's Inc,California,2011-11-29,2012-06-03,Terminated
093-2011,"Misbranding, Unreported Allergens",Silva Sausage Co.,California,2011-11-28,NA,Ongoing
092-2011,"Misbranding, Unreported Allergens",Berk Lombardo Packing Co.. Inc.,NA,2011-11-23,NA,Ongoing
091-2011,Misbranding,M&P Production LTD,Pennsylvania,2011-11-14,2012-06-03,Terminated
090-2011,Product Contamination,Schreiber Processing Corporation,Maryland,2011-11-08,2012-06-03,Terminated
089-2011,Product Contamination,Bulk Inc,Texas,2011-11-07,2012-06-03,Terminated
088-2011,Product Contamination,NA,NA,2011-10-31,2012-06-03,Terminated
087-2011,Misbranding,Original Fried Pies,"Arkansas, Colorado, Mississippi, Missouri, Oklahoma, Texas",2011-10-27,2012-06-03,Terminated
086-2011,Produced Without Benefit of Inspection,NA,California,2011-10-26,2012-06-03,Terminated
085-2011,"Misbranding, Unreported Allergens",NA,"Louisiana, Texas",2011-10-25,2012-06-03,Terminated
084-2011,"Misbranding, Unreported Allergens",KTF Protein Solutions Inc.,Ohio,2011-10-20,2012-06-03,Terminated
083-2011,Produced Without Benefit of Inspection,NA,Illinois,2011-10-14,2012-06-03,Terminated
082-2011,Misbranding,NA,NA,2011-10-13,2012-06-03,Terminated
081-2011,"Misbranding, Unreported Allergens",NA,"Arizona, California, Maryland, Ohio, Texas",2011-10-12,2012-06-03,Terminated
080-2011,Product Contamination,"Commercial Meat Company, Inc.","California, Nevada",2011-10-11,2012-06-03,Terminated
079-2011,Product Contamination,NA,"Illinois, Indiana, Kentucky, Ohio, Tennessee",2011-10-01,2012-06-03,Terminated
078-2011,Product Contamination,NA,Arizona,2011-09-30,2012-06-03,Terminated
077-2011,Product Contamination,"Tyson Fresh Meats, Inc.",NA,2011-09-27,2012-06-03,Terminated
76-2011,Product Contamination,K. Heeps Inc,"California, Florida, Illinois, Kentucky, Maryland, Missouri, New Jersey, Ohio, Pennsylvania, Texas, Utah, Virginia",2011-09-26,2012-06-03,Terminated
075-2011,Product Contamination,NA,NA,2011-09-23,2012-06-03,Terminated
074-2011,"Misbranding, Unreported Allergens",Mattern Sausage,"Oregon, California",2011-09-22,2012-06-03,Terminated
073-2011,Processing Defect,"Roundy's Supermarkets, Inc.",Illinois,2011-09-21,2012-06-03,Terminated
072-2011,Unreported Allergens,M&P Production LTD,Massachusetts,2011-09-20,2012-06-03,Terminated
071-2011,Product Contamination,Cargill Meat Solutions,NA,2011-09-11,2012-06-03,Terminated
070-2011-EXP,"Misbranding, Unreported Allergens",NA,Hawaii,2011-08-30,2012-06-03,Terminated
067-2011,Unreported Allergens,Silva Sausage Co.,California,2011-08-26,2012-06-03,Terminated
068-2011,"Misbranding, Unreported Allergens",NA,Oregon,2011-08-26,2012-06-03,Terminated
069-2011,"Misbranding, Unreported Allergens",NA,Alaska,2011-08-26,2012-06-03,Terminated
070-2011,"Misbranding, Unreported Allergens",NA,Hawaii,2011-08-26,2012-06-03,Terminated
066-2011,Product Contamination,NA,"North Carolina, South Carolina, Virginia",2011-08-19,2012-06-03,Terminated
065-2011,"Misbranding, Unreported Allergens",NA,Wisconsin,2011-08-15,2012-06-03,Terminated
063-2011,Product Contamination,NA,NA,2011-08-12,2012-06-02,Terminated
064-2011,Product Contamination,"National Beef Packing Co., L.L.C.",NA,2011-08-12,2012-06-02,Terminated
062-2011-EXP,Product Contamination,McNees Meats and Wholesale LLC,Michigan,2011-08-11,2012-06-02,Terminated
062-2011,Product Contamination,McNees Meats and Wholesale LLC,Michigan,2011-08-09,2012-06-02,Terminated
061-2011,Product Contamination,NA,Texas,2011-08-05,2012-06-02,Terminated
060-2011,Product Contamination,Cargill Meat Solutions,NA,2011-08-03,2012-06-02,Terminated
058-2011,"Misbranding, Unreported Allergens",Curly's Custom Meats,Ohio,2011-07-29,2012-06-02,Terminated
PHA-072911-01,Product Contamination,NA,NA,2011-07-29,NA,Ongoing
059-2011,Produced Without Benefit of Inspection,NA,NA,2011-07-28,2012-06-02,Terminated
056-2011,Product Contamination,NA,"Illinois, Ohio, Iowa, Virginia",2011-07-27,2012-06-02,Terminated
057-2011,Product Contamination,NA,NA,2011-07-27,2012-06-02,Terminated
050-2011-EXP,Product Contamination,Flying Food Group,Georgia,2011-07-26,2012-06-02,Terminated
052-2011-EXP,Product Contamination,Pilgrim's Pride Corporation,"Alabama, Florida, Georgia, Indiana, Kentucky, Ohio, Tennessee, Virginia, West Virginia",2011-07-26,2012-06-02,Terminated
053-2011,"Misbranding, Unreported Allergens",Yants Snack Foods LLC,"Ohio, Indiana",2011-07-22,2012-06-02,Terminated
054-2011,Produced Without Benefit of Inspection,"Bobby Salazar's Food Products, Inc.",California,2011-07-22,2012-06-02,Terminated
055-2011,Product Contamination,NA,"Florida, Illinois, Indiana, Michigan, Ohio",2011-07-22,2012-06-02,Terminated
051-2011,"Misbranding, Unreported Allergens",NA,"Indiana, Missouri, Ohio",2011-07-20,2012-06-02,Terminated
052-2011,Product Contamination,Pilgrim's Pride Corporation,"New Jersey, Texas",2011-07-20,2012-06-02,Terminated
050-2011,Product Contamination,Flying Food Group,"Georgia, Alabama",2011-07-19,2012-06-02,Terminated
048-2011,Product Contamination,NA,"Illinois, Connecticut, Massachusetts, New York, Pennsylvania",2011-07-14,2012-06-02,Terminated
049-2011,Product Contamination,NA,California,2011-07-14,2012-06-02,Terminated
047-2011,Product Contamination,"Warabeya U.S.A., Inc.",Hawaii,2011-07-06,2012-06-02,Terminated
046-2011,Product Contamination,NA,NA,2011-07-05,2012-06-02,Terminated
044-2011,"Misbranding, Unreported Allergens","Twin Marquis, Inc.",New York,2011-06-22,2012-06-02,Terminated
045-2011,Product Contamination,NA,NA,2011-06-22,2012-06-02,Terminated
043-2011,Product Contamination,NA,NA,2011-06-21,2012-06-02,Terminated
042-2011,"Unreported Allergens, Mislabeling",Big B Distributors,Kentucky,2011-06-15,2012-06-02,Terminated
041-2011,"Misbranding, Unreported Allergens",Kim Son Food Co.,"Pennsylvania, Virginia, Texas, Washington",2011-06-10,2012-06-02,Terminated
040-2011,"Misbranding, Mislabeling",NA,"Illinois, Kansas, Louisiana, Missouri, Nebraska, North Carolina, Pennsylvania, Texas, Virginia",2011-06-02,2012-06-02,Terminated
039-2011,Product Contamination,NA,NA,2011-05-31,2012-06-02,Terminated
038-2011,"Unreported Allergens, Mislabeling",Fresh & Ready Foods LLC,NA,2011-05-27,2012-06-02,Terminated
R01-2011,Product Contamination,NA,NA,2011-05-25,2012-06-02,Terminated
037-2011,Product Contamination,NA,"Arizona, California, Nevada, Oregon, Washington",2011-05-13,2012-06-02,Terminated
036-2011,Mislabeling,Troll Smokehouse,Michigan,2011-05-11,2012-06-02,Terminated
034-2011,"Unreported Allergens, Mislabeling","Butterfield Foods, LLC",Indiana,2011-05-06,2012-06-02,Terminated
035-2011,"Unreported Allergens, Mislabeling",NA,"Georgia, Indiana, Kentucky, Ohio, Tennessee",2011-05-06,2012-06-02,Terminated
032-2011,"Unreported Allergens, Mislabeling",Smithfield Fresh Meats Corp.,"Alabama, Florida, Illinois, Kentucky, Maryland, Massachusetts, Mississippi, North Carolina, New Jersey, New York, Pennsylvania, South Carolina, Tennessee, Texas, Virginia",2011-05-04,2012-06-02,Terminated
033-2011,Product Contamination,Taylor Farm - Pacific,NA,2011-05-04,2012-06-02,Terminated
031-2011,"Unreported Allergens, Mislabeling",NA,NA,2011-04-30,2012-06-02,Terminated
030-2011,"Unreported Allergens, Mislabeling",Oberto Snacks Inc.,"Iowa, Minnesota, North Dakota, Wisconsin",2011-04-29,2012-06-02,Terminated
029-2011,"Unreported Allergens, Mislabeling",Troll Smokehouse,Michigan,2011-04-27,2012-06-02,Terminated
028-2011,Product Contamination,Jennie-O Turkey Store,Wisconsin,2011-04-01,2012-06-02,Terminated
027-2011,"Unreported Allergens, Mislabeling",Wayne Farms LLC,"New Jersey, Massachusetts",2011-03-31,2012-06-02,Terminated
026-2011,"Unreported Allergens, Mislabeling",NA,NA,2011-03-29,2012-06-02,Terminated
025-2011,Product Contamination,"Palmyra Bologna Company, Inc.","California, Colorado, Maryland, New York, Pennsylvania",2011-03-22,2012-06-02,Terminated
024-2011,Mislabeling,"Northwest Premium Meats, LLC",Idaho,2011-03-21,2012-06-02,Terminated
023-2011,"Unreported Allergens, Mislabeling",NA,NA,2011-03-17,2012-06-02,Terminated
022-2011,Mislabeling,NA,"California, Georgia, Hawaii, Illinois, New Jersey, New York",2011-03-15,2012-06-02,Terminated
021-2011,Product Contamination,Nestle Prepared Foods Company,"South Dakota, Minnesota, Wisconsin",2011-03-14,2012-06-02,Terminated
019-2011,"Unreported Allergens, Mislabeling",NA,NA,2011-03-11,2012-06-02,Terminated
020-2011,"Unreported Allergens, Mislabeling","Monogram Meat Snacks, LLC","California, Colorado, Illinois, Missouri, Ohio",2011-03-11,2012-06-02,Terminated
018-2011,Product Contamination,Zweigle's Inc.,New York,2011-03-09,2012-06-02,Terminated
017-2011,Product Contamination,NA,Arizona,2011-03-08,2012-06-02,Terminated
016-2011,Product Contamination,Taylor Farm - Pacific,"Arizona, California, Colorado, Oregon, Washington",2011-03-01,2012-06-02,Terminated
015-2011,"Unreported Allergens, Mislabeling",NA,"California, Colorado, Texas, Florida",2011-02-28,2012-06-02,Terminated
013-2011,Mislabeling,J&J Distributing,Minnesota,2011-02-25,2012-06-02,Terminated
014-2011,Product Contamination,"NEW MARKET POULTRY, LLC",New York,2011-02-25,2012-06-02,Terminated
012-2011,Produced Without Benefit of Inspection,NA,NA,2011-02-24,2012-06-02,Terminated
011-2011,Misbranding,NA,"Arizona, California, Texas",2011-02-23,2012-06-02,Terminated
010-2011,Unreported Allergens,Meridian Meat and Sausage,NA,2011-02-16,2012-06-02,Terminated
009-2011,"Unreported Allergens, Mislabeling",Simmons' Barbecue Inc,"Alabama, Georgia, Tennessee, Mississippi",2011-02-09,2012-06-02,Terminated
008-2011,Product Contamination,NA,California,2011-02-05,2012-06-01,Terminated
007-2011,"Unreported Allergens, Mislabeling","Nina Mia, Inc.",California,2011-01-28,2012-01-28,Terminated
006-2011,Product Contamination,NA,California,2011-01-18,2012-06-01,Terminated
003-2011-EXP,Product Contamination,NA,"Alabama, Florida, Georgia, Louisiana, Mississippi",2011-01-14,2012-06-01,Terminated
005-2011,"Mislabeling, Product Contamination",NA,Colorado,2011-01-14,2012-06-01,Terminated
004-2011,Mislabeling,NA,"California, Colorado, Minnesota, Washington",2011-01-11,2012-06-01,Terminated
003-2011,Product Contamination,NA,"California, Oregon",2011-01-10,2012-06-01,Terminated
002-2011,"Misbranding, Unreported Allergens",NA,"California, Oregon, Washington",2011-01-06,2012-06-01,Terminated
001-2011,Mislabeling,NA,"California, New York",2011-01-03,2012-06-01,Terminated
069-2010,"Unreported Allergens, Mislabeling",NA,NA,2010-12-30,2012-06-04,Terminated
