case_number,recall_reason,establishment,states,date
133-2015,NA,NA,"Illinois, Wisconsin","Fri, 10/30/2015 - Wed, 04/26/2017"
132-2015,NA,NA,NA,"Mon, 10/26/2015 - Tue, 06/07/2016"
131-2015,NA,NA,"Connecticut, Massachusetts, New Jersey, New York, Rhode Island","Sat, 10/24/2015 - Tue, 06/07/2016"
130-2015,NA,NA,California,"Thu, 10/22/2015 - Wed, 06/08/2016"
129-2015,NA,"Shuler Meats, Inc.",NA,"Thu, 10/22/2015 - Wed, 06/08/2016"
128-2015,NA,NA,"Delaware, Maryland, Massachusetts, Pennsylvania, Virginia, District of Columbia","Tue, 10/20/2015 - Wed, 06/08/2016"
127-2015,NA,"Good Food Concepts, LLC","Colorado, New Mexico","Sun, 10/18/2015 - Wed, 06/08/2016"
101-2015 expansion,NA,NA,NA,"Fri, 10/02/2015 - Fri, 02/24/2017"
126-2015,NA,Royal Frozen Food,California,"Tue, 09/29/2015 - Wed, 06/08/2016"
125-2015,NA,NA,California,"Fri, 09/25/2015 - Wed, 06/08/2016"
124-2015,NA,NA,"Georgia, Louisiana","Thu, 09/24/2015 - Thu, 12/22/2016"
pha-091715,Product Contamination,NA,NA,"Thu, 09/17/2015 - Current"
123-2015,NA,NA,NA,"Wed, 09/16/2015 - Wed, 06/08/2016"
122-2015,NA,The Pork Rind Factory,"North Carolina, Pennsylvania, South Carolina, Virginia","Thu, 09/10/2015 - Wed, 06/08/2016"
121-2015,NA,Schrader Farms Meat Market,NA,"Tue, 09/08/2015 - Wed, 06/08/2016"
120-2015,NA,NA,NA,"Tue, 09/08/2015 - Wed, 06/08/2016"
119-2015,NA,Kenosha Beef International Ltd,"Arkansas, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Texas, Wisconsin","Wed, 09/02/2015 - Tue, 06/14/2016"
118-2015,Misbranding,NA,NA,"Mon, 08/31/2015 - Wed, 06/08/2016"
117-2015,NA,NA,NA,"Mon, 08/31/2015 - Fri, 02/14/2020"
116-2015,NA,NA,Washington,"Fri, 08/28/2015 - Tue, 12/13/2016"
110-2015 expansion,NA,NA,"Alaska, Oregon, Washington","Thu, 08/27/2015 - Tue, 10/25/2016"
115-2015,Mislabeling,NA,NA,"Thu, 08/27/2015 - Thu, 04/27/2017"
114-2015,NA,NA,California,"Wed, 08/26/2015 - Wed, 06/08/2016"
113-2015,NA,NA,NA,"Tue, 08/25/2015 - Thu, 04/13/2017"
112-2015,NA,NA,"Ohio, Texas","Mon, 08/17/2015 - Wed, 06/08/2016"
111-2015,NA,NA,NA,"Fri, 08/14/2015 - Wed, 04/12/2017"
110-2015,NA,NA,"Alaska, Washington","Thu, 08/13/2015 - Tue, 10/25/2016"
109-2015,NA,NA,Idaho,"Tue, 08/11/2015 - Wed, 06/08/2016"
108-2015,NA,NA,California,"Fri, 08/07/2015 - Wed, 06/08/2016"
107-2015,NA,NA,Minnesota,"Mon, 08/03/2015 - Wed, 06/08/2016"
106-2015,NA,NA,NA,"Fri, 07/31/2015 - Wed, 04/12/2017"
pha-073115,Product Contamination,NA,NA,"Fri, 07/31/2015 - Current"
105-2015,NA,NA,New York,"Thu, 07/30/2015 - Tue, 04/11/2017"
104-2015,NA,NA,"Colorado, Georgia, Illinois, Iowa, Louisiana, Missouri, New Jersey, Ohio","Thu, 07/23/2015 - Wed, 06/08/2016"
103-2015,NA,NA,"Idaho, Oregon, Washington","Mon, 07/20/2015 - Tue, 06/07/2016"
102-2015,NA,NA,"California, Nevada","Thu, 07/16/2015 - Tue, 06/07/2016"
101-2015,NA,NA,Minnesota,"Wed, 07/15/2015 - Fri, 02/24/2017"
100-2015,NA,NA,Colorado,"Wed, 07/15/2015 - Tue, 06/07/2016"
096-2015,NA,NA,NA,"Sun, 07/12/2015 - Fri, 02/24/2017"
099-2015,NA,"VF America, LLC",NA,"Fri, 07/10/2015 - Tue, 06/07/2016"
098-2015,NA,NA,NA,"Tue, 07/07/2015 - Wed, 06/08/2016"
097-2015,NA,NA,"Colorado, New Mexico, Utah, Wyoming","Fri, 07/03/2015 - Wed, 06/08/2016"
pha-070115,Product Contamination,NA,NA,"Wed, 07/01/2015 - Current"
095-2015,NA,NA,NA,"Fri, 06/26/2015 - Wed, 06/08/2016"
094-2015,NA,NA,New York,"Sat, 06/20/2015 - Wed, 06/08/2016"
093-2015,NA,NA,NA,"Wed, 06/17/2015 - Mon, 08/14/2017"
092-2015,NA,Venus Foods Inc.,California,"Tue, 06/16/2015 - Wed, 06/08/2016"
091-2015,NA,NA,California,"Mon, 06/15/2015 - Wed, 06/08/2016"
090-2015,Processing Defect,NA,"New York, Pennsylvania","Fri, 06/12/2015 - Wed, 06/08/2016"
089-2015,NA,"Big Easy Foods of Louisiana, LLC","Arizona, Arkansas, Florida, Louisiana, Maryland, Missouri, New Jersey, Pennsylvania, Tennessee, Texas","Tue, 06/09/2015 - Tue, 06/20/2017"
088-2015,NA,Benedetti Farms,California,"Sat, 06/06/2015 - Wed, 06/08/2016"
087-2015,NA,"Quincy Street, Inc.",NA,"Thu, 06/04/2015 - Wed, 06/08/2016"
086-2015,NA,NA,California,"Thu, 06/04/2015 - Wed, 06/08/2016"
085-2015,NA,NA,New York,"Wed, 06/03/2015 - Wed, 06/08/2016"
084-2015,NA,NA,NA,"Fri, 05/29/2015 - Wed, 06/08/2016"
083-2015,NA,NA,NA,"Fri, 05/22/2015 - Wed, 06/08/2016"
082-2015,NA,NA,NA,"Fri, 05/22/2015 - Wed, 06/08/2016"
081-2015,NA,NA,"Arizona, California, Nevada, Oklahoma, Oregon, Texas","Wed, 05/20/2015 - Thu, 02/13/2020"
080-2015,NA,"ZYK Enterprises, Inc.","California, Massachusetts, Washington","Mon, 05/18/2015 - Wed, 06/08/2016"
078-2015,"Misbranding, Unreported Allergens","A.S.K. Foods Inc., A.S.K. Foods Inc.","Pennsylvania, Pennsylvania","Sat, 05/16/2015 - Wed, 06/08/2016, Sat, 05/16/2015 - Wed, 06/08/2016"
079-2015,NA,Pine Creek Processing LLC,NA,"Thu, 05/14/2015 - Wed, 06/08/2016"
077-2015,NA,NA,"Alabama, Georgia","Fri, 05/08/2015 - Wed, 06/08/2016"
076-2015,NA,NA,"Oregon, Washington","Thu, 05/07/2015 - Mon, 04/17/2017"
075-2015,NA,NA,"Illinois, Michigan","Thu, 05/07/2015 - Wed, 06/08/2016"
074-2015,NA,NA,NA,"Fri, 05/01/2015 - Wed, 06/08/2016"
073-2015,NA,NA,NA,"Fri, 05/01/2015 - Wed, 04/12/2017"
072-2015,NA,NA,NA,"Thu, 04/30/2015 - Wed, 06/08/2016"
071-2015,NA,Golden Krust Patties Inc.,NA,"Wed, 04/29/2015 - Wed, 06/08/2016"
059-2015 expansion,NA,"Corn Maiden Foods, Inc.",California,"Mon, 04/27/2015 - Tue, 10/04/2016"
070-2015,NA,Skyline Provisions,NA,"Mon, 04/27/2015 - Wed, 06/08/2016"
069-2015,NA,NA,Texas,"Fri, 04/24/2015 - Tue, 06/13/2017"
068-2015,NA,Hong Ha Corporation,"Maryland, Virginia","Fri, 04/24/2015 - Wed, 06/08/2016"
067-2015,NA,NA,"Illinois, Minnesota, Oklahoma, Texas, Utah","Thu, 04/23/2015 - Wed, 06/08/2016"
066-2015,NA,NA,NA,"Mon, 04/20/2015 - Wed, 06/08/2016"
065-2015,NA,NA,Michigan,"Mon, 04/20/2015 - Wed, 06/08/2016"
064-2015,NA,NA,Arkansas,"Sat, 04/18/2015 - Wed, 06/08/2016"
063-2015,NA,Royal Frozen Food,"California, Nevada","Fri, 04/17/2015 - Wed, 06/08/2016"
062-2015,NA,NA,Arkansas,"Wed, 04/15/2015 - Wed, 06/08/2016"
061-2015,NA,Beech-Nut Nutrition Corporation,NA,"Tue, 04/14/2015 - Wed, 06/08/2016"
060-2015,NA,"Leader Slaughterhouse, LLC",NA,"Mon, 04/13/2015 - Wed, 06/08/2016"
059-2015,NA,"Corn Maiden Foods, Inc.",California,"Sat, 04/11/2015 - Wed, 06/08/2016"
058-2015,NA,NA,"Connecticut, Maryland","Fri, 04/10/2015 - Wed, 06/08/2016"
057-2015,NA,NA,"Illinois, Indiana, Wisconsin","Wed, 04/08/2015 - Wed, 06/08/2016"
056-2015,NA,NA,"Oregon, Washington","Wed, 04/08/2015 - Wed, 06/08/2016"
055-2015,NA,Lebanese Butcher Slaughter House Inc,NA,"Thu, 04/02/2015 - Wed, 06/08/2016"
054-2015,NA,NA,Washington,"Wed, 04/01/2015 - Wed, 06/08/2016"
053-2015,NA,NA,"California, Maryland, Virginia","Wed, 04/01/2015 - Tue, 04/25/2017"
052-2015,NA,NA,California,"Wed, 03/25/2015 - Thu, 06/15/2017"
051-2015,NA,NA,"Arizona, California","Mon, 03/23/2015 - Wed, 06/08/2016"
050-2015,NA,NA,Massachusetts,"Fri, 03/20/2015 - Tue, 04/11/2017"
049-2015,NA,NA,Massachusetts,"Fri, 03/20/2015 - Wed, 06/08/2016"
048-2015,NA,NA,"Illinois, Wisconsin","Wed, 03/18/2015 - Wed, 06/08/2016"
047-2015,NA,NA,Missouri,"Tue, 03/17/2015 - Wed, 06/08/2016"
046-2015,NA,NA,Texas,"Sat, 03/14/2015 - Wed, 06/08/2016"
045-2015,NA,Gourmet Kitchen Inc,Arizona,"Sat, 03/14/2015 - Wed, 06/08/2016"
044-2015,NA,NA,Michigan,"Fri, 03/13/2015 - Wed, 06/08/2016"
043-2015,NA,NA,"North Carolina, Ohio","Thu, 03/12/2015 - Wed, 06/08/2016"
042-2015,NA,NA,NA,"Thu, 03/12/2015 - Wed, 06/08/2016"
041-2015,NA,NA,Texas,"Fri, 03/06/2015 - Thu, 07/20/2017"
040-2015,NA,NA,"Arizona, California, Washington","Thu, 03/05/2015 - Wed, 06/08/2016"
039-2015,NA,NA,"Hawaii, Idaho, Oregon, Washington","Wed, 03/04/2015 - Wed, 06/08/2016"
038-2015,NA,NA,Texas,"Mon, 03/02/2015 - Wed, 06/08/2016"
037-2015,NA,NA,NA,"Sun, 03/01/2015 - Tue, 12/13/2016"
036-2015,NA,"Sunset Farm Foods, Inc.","Alabama, Arkansas, Florida, Georgia, New Jersey, New York","Thu, 02/26/2015 - Wed, 06/08/2016"
035-2015,NA,NA,"Iowa, Texas","Fri, 02/20/2015 - Wed, 06/08/2016"
034-2015,NA,NA,"Illinois, North Carolina","Thu, 02/19/2015 - Wed, 06/08/2016"
033-2015,NA,NA,Indiana,"Tue, 02/17/2015 - Wed, 06/08/2016"
032-2015,NA,NA,Michigan,"Tue, 02/17/2015 - Wed, 06/08/2016"
031-2015,NA,"ATM International USA, Inc.","Arizona, California, Washington","Fri, 02/13/2015 - Wed, 06/08/2016"
030-2015,NA,NA,"Connecticut, Kentucky, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Rhode Island, Virginia, District of Columbia","Tue, 02/10/2015 - Wed, 06/08/2016"
029-2015,NA,NA,Washington,"Tue, 02/10/2015 - Mon, 01/30/2017"
028-2015,NA,Krehbiels Specialty Meats Inc,NA,"Wed, 02/04/2015 - Wed, 06/08/2016"
027-2015,NA,NA,Florida,"Fri, 01/30/2015 - Wed, 06/08/2016"
026-2015,NA,NA,"New Jersey, Pennsylvania","Fri, 01/30/2015 - Wed, 06/08/2016"
025-2015,NA,NA,NA,"Fri, 01/30/2015 - Wed, 06/08/2016"
024-2015,NA,NA,"California, New York, Ohio, Pennsylvania","Fri, 01/30/2015 - Wed, 06/08/2016"
023-2015,NA,NA,"Alaska, California, Colorado, Idaho, Maryland, Oregon, Texas, Utah, Washington","Thu, 01/29/2015 - Wed, 06/08/2016"
022-2015,NA,"Washington Beef, LLC","Oregon, Washington","Wed, 01/28/2015 - Wed, 06/08/2016"
021-2015,NA,NA,NA,"Mon, 01/26/2015 - Wed, 06/08/2016"
020-2015,NA,NA,"Arizona, Colorado","Fri, 01/23/2015 - Wed, 06/08/2016"
019-2015,NA,NA,Illinois,"Fri, 01/23/2015 - Wed, 06/08/2016"
018-2015,NA,NA,"Florida, Illinois, Indiana, Massachusetts, New Jersey, Texas","Wed, 01/21/2015 - Wed, 06/08/2016"
017-2015,NA,NA,NA,"Wed, 01/21/2015 - Wed, 06/08/2016"
016-2015,NA,NA,NA,"Sat, 01/17/2015 - Wed, 06/08/2016"
015-2015,NA,NA,NA,"Sat, 01/17/2015 - Wed, 06/08/2016"
013-2015,NA,NA,California,"Sat, 01/17/2015 - Tue, 08/15/2017"
014-2015,NA,NA,NA,"Sat, 01/17/2015 - Wed, 06/08/2016"
014-2015(Original),NA,NA,NA,"Sat, 01/17/2015 - Wed, 06/08/2016"
012-2015,NA,NA,"Florida, Georgia, Maryland, New York, Oklahoma, Texas","Fri, 01/16/2015 - Wed, 06/08/2016"
011-2015,NA,NA,"Connecticut, New Jersey, New York","Fri, 01/16/2015 - Wed, 06/08/2016"
010-2015,NA,NA,Georgia,"Fri, 01/16/2015 - Wed, 06/08/2016"
008-2015,NA,NA,"Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Virginia","Wed, 01/14/2015 - Wed, 06/08/2016"
009-2015,NA,NA,NA,"Wed, 01/14/2015 - Wed, 06/08/2016"
007-2015,NA,NA,NA,"Mon, 01/12/2015 - Wed, 06/08/2016"
006-2015,NA,"Timberline Meats, LLC",New York,"Fri, 01/09/2015 - Wed, 06/08/2016"
005-2015,"Unreported Allergens, Mislabeling","The Daniel Weaver Co., Inc., The Daniel Weaver Co., Inc.","New Jersey, New Jersey","Thu, 01/08/2015 - Wed, 06/08/2016, Thu, 01/08/2015 - Wed, 06/08/2016"
004-2015,Product Contamination,"Unibright Foods, Inc.","Arizona, California, Colorado, Hawaii, Illinois, New Jersey, New York","Thu, 01/08/2015 - Wed, 06/08/2016"
003-2015,Misbranding,Fresh Food Manufacturing Company,"Maryland, Ohio, Pennsylvania, Virginia, West Virginia","Wed, 01/07/2015 - Wed, 06/08/2016"
002-2015,NA,NA,NA,"Wed, 01/07/2015 - Wed, 06/08/2016"
001-2015,NA,NA,Texas,"Fri, 01/02/2015 - Wed, 06/08/2016"
094-2014,"Misbranding, Unreported Allergens","NA, NA","Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia, Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia","Wed, 12/31/2015 - Fri, 09/18/2015, Wed, 12/31/2015 - Fri, 09/18/2015"
093-2014,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Wed, 12/31/2015 - Tue, 03/24/2015, Wed, 12/31/2015 - Tue, 03/24/2015"
091-2014-EXP1,"Misbranding, Unreported Allergens","NA, NA","Texas, Texas","Tue, 12/30/2015 - Tue, 06/13/2017, Tue, 12/30/2015 - Tue, 06/13/2017"
092-2014,"Misbranding, Unreported Allergens","Hausman Foods, Hausman Foods","Texas, Texas","Mon, 12/29/2015 - Wed, 08/31/2016, Mon, 12/29/2015 - Wed, 08/31/2016"
091-2014,"Misbranding, Unreported Allergens","NA, NA","Texas, Texas","Sat, 12/27/2014 - Tue, 06/13/2017, Sat, 12/27/2014 - Tue, 06/13/2017"
090-2014,"Misbranding, Unreported Allergens","HEB Meat Plant, HEB Meat Plant","Texas, Texas","Sat, 12/27/2014 - Tue, 03/24/2015, Sat, 12/27/2014 - Tue, 03/24/2015"
089-2014,"Misbranding, Unreported Allergens","Nuevo Garcia Foods, LLC, Nuevo Garcia Foods, LLC","Texas, Texas","Sat, 12/27/2014 - Mon, 03/23/2015, Sat, 12/27/2014 - Mon, 03/23/2015"
088-2014,Misbranding,DaBecca LLC,"California, Texas","Tue, 12/23/2014 - Fri, 02/06/2015"
087-2014,Produced Without Benefit of Inspection,NA,Arizona,"Mon, 12/22/2014 - Tue, 03/24/2015"
086-2014,Misbranding,NA,"Florida, Georgia","Mon, 12/22/2014 - Mon, 10/26/2015"
085-2014,Misbranding,"Katadyn North America Foods, LLC.",NA,"Fri, 12/19/2014 - Tue, 03/24/2015"
084-2014,"Misbranding, Unreported Allergens","NA, NA","Oregon, Washington, Oregon, Washington","Wed, 12/10/2014 - Tue, 03/24/2015, Wed, 12/10/2014 - Tue, 03/24/2015"
083-2014,Produced Without Benefit of Inspection,NA,"Georgia, Illinois, Washington","Thu, 12/04/2014 - Wed, 02/18/2015"
082-2014,Product Contamination,Rancher's US OP LLC,NA,"Sat, 11/22/2014 - Tue, 07/05/2016"
081-2014,"Misbranding, Unreported Allergens","NA, NA","California, Pennsylvania, Texas, California, Pennsylvania, Texas","Wed, 11/19/2014 - Tue, 03/24/2015, Wed, 11/19/2014 - Tue, 03/24/2015"
080-2014,"Misbranding, Unreported Allergens","K. Heeps Inc, K. Heeps Inc","Pennsylvania, Pennsylvania","Wed, 11/19/2014 - Fri, 01/02/2015, Wed, 11/19/2014 - Fri, 01/02/2015"
079-2014-EXP,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Tue, 11/18/2014 - Wed, 09/30/2015, Tue, 11/18/2014 - Wed, 09/30/2015"
079-2014,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Sat, 11/15/2014 - Thu, 05/28/2015, Sat, 11/15/2014 - Thu, 05/28/2015"
078-2014,"Misbranding, Unreported Allergens","Kasia's Deli, Inc., Kasia's Deli, Inc.","NA, NA","Fri, 11/14/2014 - Tue, 12/13/2016, Fri, 11/14/2014 - Tue, 12/13/2016"
077-2014,"Misbranding, Unreported Allergens","Kulana Foods, Ltd., Kulana Foods, Ltd.","Hawaii, Hawaii","Sun, 11/09/2014 - Thu, 04/28/2016, Sun, 11/09/2014 - Thu, 04/28/2016"
076-2014,"Misbranding, Unreported Allergens","CS Best Food, Inc., CS Best Food, Inc.","California, Washington, California, Washington","Thu, 11/06/2014 - Tue, 03/24/2015, Thu, 11/06/2014 - Tue, 03/24/2015"
075-2014,Processing Defect,NA,"Louisiana, Texas","Thu, 10/30/2014 - Tue, 06/13/2017"
074-2014,Product Contamination,NA,NA,"Sat, 10/25/2014 - Thu, 06/23/2016"
073-2014,Product Contamination,NA,Minnesota,"Fri, 10/24/2014 - Tue, 03/24/2015"
072-2014,"Misbranding, Unreported Allergens","Taylor Farms New Jersey, Inc., Taylor Farms New Jersey, Inc.","Delaware, District of Columbia, Maryland, New Jersey, Pennsylvania, Virginia, Delaware, District of Columbia, Maryland, New Jersey, Pennsylvania, Virginia","Fri, 10/24/2014 - Mon, 06/01/2015, Fri, 10/24/2014 - Mon, 06/01/2015"
071-2014,Produced Without Benefit of Inspection,NA,"Oregon, Washington","Fri, 10/17/2014 - Thu, 11/06/2014"
070-2014,"Misbranding, Unreported Allergens","Shop Packaging, LLC, Shop Packaging, LLC","New York, New York","Thu, 10/16/2014 - Tue, 03/24/2015, Thu, 10/16/2014 - Tue, 03/24/2015"
069-2014,"Misbranding, Unreported Allergens","Fresh Food Manufacturing Company, Fresh Food Manufacturing Company","Ohio, Pennsylvania, Ohio, Pennsylvania","Tue, 10/14/2014 - Fri, 11/14/2014, Tue, 10/14/2014 - Fri, 11/14/2014"
067-2014-EXP,Processing Defect,Galant Food Company,California,"Mon, 10/13/2014 - Tue, 02/03/2015"
068-2014,Product Contamination,"Buddy's Kitchen, Inc.",NA,"Wed, 10/08/2014 - Thu, 06/30/2016"
067-2014,Processing Defect,Galant Food Company,California,"Mon, 10/06/2014 - Tue, 03/24/2015"
066-2014,Product Contamination,NA,Texas,"Sat, 10/04/2014 - Fri, 06/09/2017"
065-2014,Produced Without Benefit of Inspection,Vigil's Beef Jerky,New Mexico,"Fri, 10/03/2014 - Tue, 06/13/2017"
064-2014,Produced Without Benefit of Inspection,Olson Meat Plant,Hawaii,"Thu, 10/02/2014 - Tue, 03/24/2015"
063-2014,Product Contamination,NA,Texas,"Tue, 09/30/2014 - Tue, 06/13/2017"
062-2014,Produced Without Benefit of Inspection,Delicious Beef Jerky,New Mexico,"Sat, 09/27/2014 - Tue, 10/27/2015"
061-2014,Product Contamination,"Caviness Beef Packers, Ltd.",Texas,"Thu, 09/25/2014 - Wed, 04/26/2017"
060-2014,Product Contamination,Foster Farms,"California, Texas, Utah, Washington","Thu, 09/25/2014 - Thu, 04/27/2017"
059-2014,Processing Defect,Monogram Frozen Foods,"Colorado, Montana, New Mexico, South Dakota, Utah, Wyoming","Tue, 09/23/2014 - Wed, 11/12/2014"
058-2014,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Fri, 09/12/2014 - Fri, 06/09/2017, Fri, 09/12/2014 - Fri, 06/09/2017"
057-2014,"Misbranding, Unreported Allergens","Interbay Food Company, Interbay Food Company","Washington, Washington","Fri, 09/12/2014 - Thu, 06/30/2016, Fri, 09/12/2014 - Thu, 06/30/2016"
056-2014,Processing Defect,"Perdue Foods, LLC","Connecticut, New Jersey, New York, Pennsylvania","Sat, 09/06/2014 - Fri, 10/10/2014"
055-2014,Product Contamination,NA,New Jersey,"Wed, 08/27/2014 - Wed, 10/28/2015"
054-2014,Product Contamination,NA,NA,"Thu, 08/21/2014 - Thu, 06/30/2016"
053-2014,Product Contamination,NA,Massachusetts,"Fri, 08/15/2014 - Wed, 04/26/2017"
052-2014,Product Contamination,Perdue Foods LLC,NA,"Tue, 08/12/2014 - Tue, 09/23/2014"
051-2014,Processing Defect,NA,NA,"Sat, 08/09/2014 - Tue, 03/24/2015"
050-2014,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Wed, 08/06/2014 - Mon, 03/23/2015, Wed, 08/06/2014 - Mon, 03/23/2015"
049-2014,"Misbranding, Unreported Allergens","Puritan Foods Co., Inc., Puritan Foods Co., Inc.","NA, NA","Sat, 07/26/2014 - Tue, 03/24/2015, Sat, 07/26/2014 - Tue, 03/24/2015"
pha-072514,Unfit for Human Consumption,NA,Missouri,"Fri, 07/25/2014 - Current"
048-2014,Product Contamination,Great American Marketing Co.,Texas,"Thu, 07/24/2014 - Fri, 04/14/2017"
047-2014,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Tue, 07/22/2014 - Fri, 06/24/2016, Tue, 07/22/2014 - Fri, 06/24/2016"
046-2014,"Misbranding, Unreported Allergens","NA, NA","Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia, Delaware, Florida, Georgia, Maryland, North Carolina, South Carolina, Tennessee, Virginia, District of Columbia","Fri, 07/18/2014 - Wed, 06/08/2016, Fri, 07/18/2014 - Wed, 06/08/2016"
044-2014,Product Contamination,NA,"Alaska, Arizona, California, Hawaii, Idaho, Kansas, Nevada, Oklahoma, Oregon, Utah, Washington","Sat, 07/12/2014 - Wed, 06/08/2016"
045-2014,Processing Defect,"Kanani Foods II, Inc.",Nevada,"Fri, 07/04/2014 - Wed, 06/08/2016"
043-2014,Product Contamination,HEB Meat Plant,Texas,"Thu, 07/03/2014 - Thu, 04/13/2017"
042-2014,Product Contamination,NA,"Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Virginia","Fri, 06/27/2014 - Mon, 08/18/2014"
041-2014,"Misbranding, Unreported Allergens","Mr Wok Foods Inc. dba Maxfield Foods, Mr Wok Foods Inc. dba Maxfield Foods","Nevada, Nevada","Thu, 06/26/2014 - Wed, 06/08/2016, Thu, 06/26/2014 - Wed, 06/08/2016"
039-2014,"Misbranding, Unreported Allergens","K & W Sausage, K & W Sausage","Iowa, Iowa","Wed, 06/25/2014 - Tue, 07/05/2016, Wed, 06/25/2014 - Tue, 07/05/2016"
040-2014,Misbranding,Rudolph Foods Company,"Alabama, Florida, Georgia, Louisiana, Maryland, Mississippi","Wed, 06/25/2014 - Wed, 06/08/2016"
038-2014,"Misbranding, Unreported Allergens","Wei-Chuan USA, Inc., Wei-Chuan USA, Inc.","California, California","Sat, 06/21/2014 - Wed, 06/08/2016, Sat, 06/21/2014 - Wed, 06/08/2016"
037-2014,"Misbranding, Unreported Allergens","Dearborn Sausage Company Inc, Dearborn Sausage Company Inc","NA, NA","Thu, 06/19/2014 - Tue, 06/14/2016, Thu, 06/19/2014 - Tue, 06/14/2016"
036-2014,"Misbranding, Unreported Allergens","Bellisio Foods, Inc., Bellisio Foods, Inc.","NA, NA","Thu, 06/19/2014 - Wed, 06/08/2016, Thu, 06/19/2014 - Wed, 06/08/2016"
035-2014,"Misbranding, Unreported Allergens","Vanee Foods Company, Vanee Foods Company","Florida, Illinois, Oregon, Pennsylvania, Virginia, Wisconsin, Florida, Illinois, Oregon, Pennsylvania, Virginia, Wisconsin","Fri, 06/13/2014 - Tue, 06/14/2016, Fri, 06/13/2014 - Tue, 06/14/2016"
034-2014,Product Contamination,NA,"New York, Connecticut, Missouri","Wed, 06/11/2014 - Wed, 08/03/2016"
033-2014,Misbranding,NA,Colorado,"Thu, 05/29/2014 - Tue, 06/14/2016"
032-2014,"Misbranding, Unreported Allergens","NA, NA","California, California","Fri, 05/23/2014 - Tue, 06/14/2016, Fri, 05/23/2014 - Tue, 06/14/2016"
031-2014,"Misbranding, Unreported Allergens","Gold Creek Foods LLC, Gold Creek Foods LLC","NA, NA","Wed, 05/21/2014 - Tue, 06/14/2016, Wed, 05/21/2014 - Tue, 06/14/2016"
030-2014,Product Contamination,Wolverine Packing Co.,NA,"Mon, 05/19/2014 - Tue, 06/14/2016"
029-2014,Misbranding,NA,NA,"Fri, 05/16/2014 - Tue, 06/14/2016"
028-2014,Produced Without Benefit of Inspection,NA,NA,"Fri, 05/16/2014 - Tue, 06/14/2016"
027-2014,Product Contamination,NA,"Illinois, Indiana, Iowa, Missouri, Wisconsin","Sat, 05/03/2014 - Wed, 08/03/2016"
026-2014,"Misbranding, Unreported Allergens","Knockum Hill Bar-B-Que, Knockum Hill Bar-B-Que","Kentucky, Kentucky","Fri, 04/25/2014 - Tue, 06/14/2016, Fri, 04/25/2014 - Tue, 06/14/2016"
025-2014,Produced Without Benefit of Inspection,NA,New York,"Thu, 04/24/2014 - Tue, 06/13/2017"
024-2014,"Misbranding, Unreported Allergens","Kraft Heinz Foods Company, Kraft Heinz Foods Company","NA, NA","Sun, 04/20/2014 - Tue, 08/16/2016, Sun, 04/20/2014 - Tue, 08/16/2016"
023-2014,"Misbranding, Unreported Allergens","Gold Creek Foods LLC, Gold Creek Foods LLC","NA, NA","Sat, 04/19/2014 - Wed, 06/08/2016, Sat, 04/19/2014 - Wed, 06/08/2016"
022-2014,"Misbranding, Produced Without Benefit of Inspection","NA, NA","NA, NA","Thu, 04/17/2014 - Wed, 04/12/2017, Thu, 04/17/2014 - Wed, 04/12/2017"
015-2014-EXP,Product Contamination,NA,NA,"Mon, 04/14/2014 - Tue, 12/13/2016"
021-2014,Product Contamination,"Tyson Poultry, Inc.","Arkansas, Indiana","Fri, 04/04/2014 - Thu, 07/14/2016"
020-2014,"Misbranding, Unreported Allergens","American Outdoor Products, Inc, American Outdoor Products, Inc","NA, NA","Wed, 04/02/2014 - Wed, 07/06/2016, Wed, 04/02/2014 - Wed, 07/06/2016"
019-2014,"Misbranding, Unreported Allergens","AdvancePierre Foods, Inc., AdvancePierre Foods, Inc.","Arkansas, Colorado, Iowa, Illinois, Indiana, Kansas, Montana, Nebraska, North Dakota, New Mexico, New York, Oklahoma, Texas, Utah, Virginia, Arkansas, Colorado, Iowa, Illinois, Indiana, Kansas, Montana, Nebraska, North Dakota, New Mexico, New York, Oklahoma, Texas, Utah, Virginia","Tue, 04/01/2014 - Thu, 09/08/2016, Tue, 04/01/2014 - Thu, 09/08/2016"
pha-032614,Unfit for Human Consumption,NA,NA,"Wed, 03/26/2014 - Current"
018-2014,"Misbranding, Unreported Allergens","George's Further Processing, George's Further Processing","Tennessee, Iowa, Tennessee, Iowa","Fri, 03/07/2014 - Wed, 06/08/2016, Fri, 03/07/2014 - Wed, 06/08/2016"
